jaanaa,जानाँ
bhigoyi,भिगोई
karele,करेले
dekhegaa,देखेगा
chhabila,छबीला
aasamaan,आसमां
madeena,मदीना
byaah,ब्याह
laavaaris,लावारिस
intakaam,इंतकाम
aankhiyaan,अँखियाँ
mahaboob,महबूब
darava,दरवा
anganaaraa,अंगनारा
saathiyan,साथिया
kufar,कुफ़र
chaalein,चालें
khulaa,खुला
mukhade,मुखड़े
bahalane,बहलने
sanng,संग
bajane,बाजे
manakaa,मनका
nazadiik,नज़दीक
darne,डरने
komi,कोमी
kisike,किसीके
aha,अहा
mayur,मयुर
jisam,जिसम
nikalanaa,निकलना
daabaa,दाबा
lamhen,लम्हें
jinki,जिनकी
bekudii,बेख़ुदी
chalate,चलते
honevaale,होनेवाले
nirbhaktava,निर्भक्तवा
jagannath,जगन्नाथ
afat,आफ़त
majanuun,मजनूँ
giraati,गिराती
kudart,कुदरट
uthae,उठाए
huye,हुई
survalvandana,सुर्वल्वंदना
bairi,बैरी
ziro,ज़ीरो
tara,तारे
badmaashi,बदमाशी
yaqiin,यक़ीं
miradang,मिरदंग
fizaa,फ़िज़ां
mudda,मुद्दा
chhune,छूने
inaka,इनका
vichhohan,विछोहन
paappe,पाप्पे
chumme,चुम्मे
see,से
afsaane,अफ़साने
yaadam,यादम
hindole,हिंडोले
saanwariya,साँवरिया
charen,करें
jalaayaa,जलाया
taaron,तरों
barasa,बरसा
adhin,अधीन
sond,सोंड
raawita,राविता
banaa,बना
manaayen,मनायें
dahakate,दहकते
chhaae,छाए
sajiyaa,सजिया
mom,मोम
tanhaaiyan,तनहाइयाँ
dewaanon,दीवानों
sadamein,सदमें
rutton,रुतों
han,हँ
saverey,सवेरे
fasl,फ़स्ल
sohana,सोहना
khayaalaat,खयालात
joduun,जोड़ूँ
tab,तब
jaduugarani,जदूगरनी
khulega,खुलेगा
dhulte,धुलते
baaga,बागा
gangaaraam,गंगाराम
deeni,दीनी
kataaron,कटारों
nidharn,निधर्न
parwaane,परवाने
baandhe,बाँधे
janamon,जन्मों
sunhare,सुनहरे
panaah,पनाह
boli,भोली
kishor,किशोर
mere,मेर
ghabaraya,घबराया
jhoomenge,झूमेंगे
lagegii,लगेगी
tulaseedaas,तुलसीदास
jahaaj,जहाज
aanhon,आँहों
basaayenge,बसाएँगे
aadhar,आधार
halki,हल्की
tinke,तिनके
elo,एलो
thoda,थोड़ा
baazaaron,बाज़ारों
bajati,बजती
had,हद
simate,सिमटे
halva,हलवा
bekaraarii,बेकरारी
bhogyam,भोग्यम
hai,हैं
karavaake,करवाके
guzarne,गुज़रने
pahanen,पहनें
yaqin,यक़ीं
machalti,मचल्ती
jhaanko,झाँको
jeelon,झीलों
rulaao,रुलाओ
jaren,जरें
mulaakaata,मुलाकात
tohfa,तोह्फ़ा
khatra,खतरा
paagalapan,पागलपन
bayan,बयां
kabhin,कभीं
rijhaaven,रिझावें
aazamaauun,आज़माऊँ
chikiririka,चिकिरिरिका
maayoos,मायूस
qayaamat,क़यामात
hichkichana,हिचकिचाना
adhuuraa,अधूरा
humaari,हमारी
jalim,ज़ालिम
bolen,बोलें
makaam,मकाम
key,की
garmii,गर्मी
akha,अखा
aainaa,आइना
potti,पोट्टी
udaayi,उड़ाईं
milaayaa,मिलाया
dhanwaan,धनवान
kab,का
kaale,कारे
bhaaji,भाजी
thukaraati,ठुकराती
khudaaya,ख़ुदाया
hatoon,हटूँ
chamache,चमचे
umariya,उमरिया
ik,इक
guhaar,गुहार
giridhaari,गिरिधारी
chalye,चले
rastaa,रास्ता
bhoolega,भूलेगा
dikhaata,दिखाता
lijo,लीजो
gilli,गिल्ली
paya,पाया
machaai,मचाई
dhola,डोला
chadhaayen,चढ़ाएँ
paran,परण
itna,इतन
nagarpati,नगरपति
tarsaaye,तरसाये
gheren,घेरें
ah,आह
garajaye,गरजाए
bujhe,बूझे
barabad,बरबाद
rahengi,रहेंगी
rekha,रेखा
sunanaa,सुनना
chhupaaenge,छुपाएंगे
ashq,अश्क़
bant,बाँट
chamacha,चमचा
galiyo,गलियों
siidhaa,सीधा
puchho,पुछो
gudiyo,गुड़ियों
nila,नीला
ain,आईं
inam,ईनाम
sui,सुई
pattebaazi,पत्तेबाज़ी
maloon,मलूँ
maah,माह
patana,पटना
faryaad,फ़रियाद
faramaaish,फ़रमाइश
sooratiya,सूरतिया
laut,लूट
jinhen,जिन्हें
kad,कड़
gussaa,गुस्सा
nashaabandi,नशाबन्दी
jaan,जां
hulla,हुल्ला
saanand,सानंद
kanchan,कंचन
saz,साज़
pighalaaun,पिघलाऊँ
kasmo,कस्मों
kare,कर
bagaanon,बगानों
biwi,बीवी
sharmaayiye,शरमाइये
sajariyaa,सजरिया
chubhein,चुभें
tadapaaengii,तड़पाएंगी
jeer,जीर
alaadin,अलादीन
chhaaegi,छाएगी
fizaayen,फ़िज़ाएँ
rukvaa,रुकवा
churaali,चुरानी
bhigoye,भिगोये
sara,सरा
ladkiya,लड़कियाँ
leharon,लेहरों
khushnuma,खुशनुमा
janam,जनम
chudeevaala,चुड़ीवाला
asman,आसमान
chadhaa,चढ़ा
pardada,परदादा
faramaaiyega,फ़रमाइयेगा
patali,पतली
nisapta,निसप्त
aazmaaoge,आज़माओगे
udakar,उड़कर
bayaan,बयान
kahan,कहाँ
roshanadaan,रोशनदान
kaulej,कौलेज
tadapaaye,तड़पाए
malata,मलता
teere,तेरे
dolna,डोलना
baavra,बावरा
badon,बड़ों
needh,नींद
banaaungi,बनाऊँगी
naree,नारी
puchcho,पूछो
vaisi,वैसी
mitado,मिटादो
hoshiyar,होशियार
tarse,तरसे
hungama,हंगामा
martaba,मर्तबा
chattaane,चट्टाने
ghungaru,घुँगरू
liptaa,लिपटा
itani,इतनी
meharabaaniyaan,मेहरबानियां
kaanp,काँप
jhula,झुला
hiyaa,हिया
bulaayen,बुलाएँ
fasle,फासलें
har,हार
sulgi,सुलगीं
jiine,जीने
mahaaraani,महारानि
majaal,मज़ाल
lene,लेने
kehethi,कहती
tumpe,तुम्पे
porila,पोरीला
buundaniyon,बूँदनियों
hua,हुअ
wafadaari,वफ़ादारी
japate,जपते
puuchha,पूछा
ladakii,लड़की
titalee,तितली
rukatee,रुकती
capala,चपल
mari,मारी
sohanii,सोहनी
paapon,पापों
naagar,नागर
pakda,पकड़ा
helo,हेलो
zamiin,ज़मीन
naashaad,नाशाद
chhoriyaan,छोरियां
uge,उगे
hataayo,हटाओ
lahariya,लहरिया
dawa,दवा
daanten,डाँटें
puurab,पूरब
kaan,कान
lete,लेते
khelana,खेलना
pashchimi,पश्चिमी
dahar,दहर
darindon,दरिंदों
gayee,गईं
tis,तीस
dilip,दिलीप
nagme,नग़मे
chandar,चन्दर
daas,दास
chele,चेले
maarungi,मारुँगी
laayi,लायि
moti,मोति
sari,सारी
thaara,थारा
boondon,बूंदों
khoj,खोज
jaaongi,जाऊंगी
puuchhataa,पूछता
rupaiyya,रुपैय्य
garawa,गरवा
gujri,गुजरी
ekaant,एकान्त
palkan,पलकन
vardi,वर्दी
lutaayen,लुटायें
nikli,निकली
mudda,मुद्द
birahan,बिरहन
uthaayenge,उठाएंगे
jhuumakar,झूमकर
jaauungaa,जाऊँगा
tajmahal,ताज़महल
kisamein,किसमें
sharmaai,शरमाई
muskuraana,मुस्कुराना
bajate,बजते
bezubaaniyaan,बेज़ुबानियाँ
likhna,लिखना
fail,फ़ैल
palchhin,पलच्छीं
bahalaayenge,बहलाएँगे
chhoto,छोटो
mandlaaye,मंडलाये
vaan,वाँ
thaare,तारे
jadha,जाड़ा
khopadiya,खोपड़िया
taarne,तारने
raahoo,राहू
dhokhe,धोके
nallaa,नल्ला
dhyaan,ध्यान
mare,मरें
jaanuun,जानूँ
tumhari,तुम्हरी
kak,ख़ाक
gaae,गाए
ohoho,ओहोहो
aanewaali,आनेवालि
chalana,चलना
yaayi,याई
majanu,मजनू
jeeye,जीये
isape,इसपे
arman,अरमान
pyaali,प्याली
daasii,दासी
binti,बिनती
parachhaayiyon,परछाइयों
zindaa,ज़िंदा
paheli,पहली
waise,वैसी
qurbaan,कुरबान
phiri,फिरी
tapakaa,टपका
hamin,हमीं
shivaaji,शिवाजी
buniyaden,बुनियादें
chupaao,छुपाऊँ
sindoor,सिन्दूर
putalon,पुतलों
prahaar,प्रहार
ruk,रुक
jagaaye,जगाये
jaaen,जाएन
muhje,मुझ
agle,अगले
suukhe,सूखे
mudassim,मुदस्सिम
jhukaae,झुकाए
aav,आव
naunihaal,नौनिहाल
bhanware,भँवरे
pehne,पहने
jaadugar,जादुगर
hamaara,हमारा
its,इट
baaad,बाद
phuulengi,फूलेंगी
masazid,मसज़िद
chhodie,छोड़िए
michauliyaan,मिचौलियाँ
raaje,राजे
duuja,दूजा
bandishon,बंदिशों
ghabaraakar,घबराकर
tukde,टुकड़े
brindaapan,ब्रिंदापन
chilam,चिलम
hasaratein,हसरतें
parchayi,परछाई
samundar,समन्दर
uthhaye,उठाये
fenk,फेंक
kyo,क्यो
hatto,हटो
jhumari,झुमरी
pahunchaae,पहुँचाए
poorab,पूरब
gunagunaae,गुनगुनाए
saahab,साहब
latoon,लटों
bichhade,बिछुड़े
ummidein,उम्मिदें
chalati,चलति
qurbani,क़ुरबानी
mundere,मुंदरे
vidyaa,विद्या
faasala,फ़ासला
humse,हमसे
choree,चोरी
gungaa,गूंगा
intezaar,इंतजार
sujhaaye,सुझाये
bachchaa,बच्चा
muhabbar,मुहब्बर
lagaay,लगाय
anuraag,अनुराग
chalaaya,चलाया
labjon,लब्जों
buney,बुने
deeyon,दीयों
suvaas,सुवास
kalai,कलाई
khilona,खिलौना
karaado,करादो
chhaati,छाती
aapas,आपस
khilana,खिलाना
lehraaye,लहराये
kaanpane,काँपने
vaalee,वाली
mehrban,मेहरबां
ghusat,घुसत
khinchi,खिंची
dilabara,दिलबर
chhuaa,छुआ
vatan,वतन
kalii,कली
gajaron,गजरों
raseelaa,रसीला
udaayega,उड़ायेगा
chahtein,चाहतें
mahalon,महलों
dosto,दोस्तों
gulzar,गुलज़ार
kr,क्र
liilaa,लीला
tel,तेल
miilate,मिलते
bujhaate,बुझाते
hilaay,हिलाय
sarakane,सरकने
piipal,पीपल
akhir,आख़िर
kholana,खोलना
majnun,मजनूँ
badhanaa,बढ़ाना
thumuk,ठुमक
chingari,चिंगारी
danaadan,दनादन
muskuraakar,मुस्कुराकर
gir,घर
rehti,रहती
jeee,जे
kaanhaa,कांहा
bansuri,बंसुरी
milengi,मिलेंगी
qasam,क़सम
bazaaron,बाज़ारों
uttar,उत्तर
tarsaana,तरसाना
bhichad,बिछड़
sajaan,साजन
buujhe,बूझे
bukh,भूख
hue,ही
rajevaa,रजेवा
zism,ज़िस्म
matavaala,मतवाला
hasiin,हसीं
dhadakaao,धड़काओ
bigaaro,बिगारो
khilo,खिलो
chuta,छूटा
qadaradaano,क़दरदानो
hawaaein,हवाएं
palne,पलने
tibar,तिबर
doongi,दूँगी
meench,मींच
piinaa,पीना
biso,बिसो
sunaye,सुनाई
saalagirah,सालगिरह
sapate,सपाटे
jhukaai,झुकाई
veeraan,वीरान
haalaat,हालात
pardaanasheeno,परदानशीनों
bahekaave,बहकावे
musakuraoo,मुस्कुराओ
buzaa,बुझा
lautkar,लौटकर
hoon,हों
deevar,दीवार
biyaawaan,बीयावाँ
kijiye,कीजीये
poojaa,पूजा
maazara,माज़रा
kadu,कदू
hothon,होंठों
rangaraliyon,रंगरलियों
gawaana,गँवाना
peeta,पीटा
badhaati,बढ़ाती
ugti,उगती
aapane,आपने
sudhaar,सुधार
chir,चीर
kiaryian,क्यारिया
mosam,मौसम
mahekti,महकती
shradhdhha,श्रध्ध्हा
chulha,चुल्हा
sitara,सितारा
payenge,पाएँगे
nigehabaa,निगेहबा
haale,हाल
kamaaye,कमाये
kajle,कजले
hindii,हिन्दी
kiss,किस
batalaayen,बतलाएं
maaru,मारू
putr,पुत्र
rukoge,रुकोगे
takaraate,टकराते
seenche,सींचे
bachpan,बच्पन
kaee,के
such,सच
lachakaaiye,लचकाइये
begaanaa,बेगाना
sumadhura,सुमधुर
ladayega,लड़ाएगा
aake,आँख
anjaane,अन्जानें
ajantaa,अजन्ता
merey,मेरे
barsi,बरसी
himaanchal,हिमाँचल
niharta,निहारता
bhatakaane,भटकाने
banakar,बनाकर
barbadi,बरबादी
sunana,सुनना
single,सिंगल
bit,बीत
utra,उतरा
chaurangi,चौरंगी
mamata,ममता
bichaare,बिचारे
dolta,डोलता
manjilon,मंज़िलों
tufaan,तूफ़ान
choor,चूर
soti,सोती
lagegaa,लगेगा
maanguun,मांगूं
liye,लीये
shringaar,श्रृंगार
peepal,पीपल
churaayuun,चुराऊँ
neend,नेएंद
baithaave,बैठावे
pighalaane,पिघलाने
ashkon,अश्क़ों
bijuriya,बिजुरिया
chhute,च्छुटे
beqaraar,बेक़रार
bolti,बोलती
paana,पाना
piyaari,पियारी
apaka,आपका
aashram,आश्रम
fizaayein,फ़िज़ाएं
burii,बुरी
bichadna,बिछड़ना
girunga,गिरूँगा
mayoos,मायूस
gungunate,गुनगुनाते
sahal,सहल
lafadaa,लफ़ड़ा
samajh,समझ
ghulami,गुलामी
dipaka,दीपक
tere,तारे
jiyenge,जियेंगे
jinaan,जिनां
ubharen,उभरें
chara,चारा
pedhe,पेढ़े
doobegaa,डूबेगा
tikaa,टीका
samajhaate,समझाते
ole,ओले
kahado,कहदो
pahale,पहले
pahunch,पहुँच
beqarar,बेकरार
kitne,कितने
top,तोप
bhini,भिनि
poonji,पूंजी
lapetakar,लपेटकर
sataayega,सतायेगा
ge,गे
mahakaayengin,महकाएँगीं
hindustan,हिन्दुस्तान
pichhe,पीछे
lakeeren,लकीरें
jaa,जाँ
udegee,उड़ेगी
banayen,बनायें
maalaamaal,मालामाल
safaai,सफ़ाई
apna,अपना
prabhu,प्रभू
tunne,तुमने
lagaauun,लगाऊँ
gumaan,गुमां
khoy,खोय
shayar,शायर
murjhaaye,मुर्झाये
chaye,छाये
wass,वास
mausami,मौसमी
lubhaana,लुभाना
baheta,बहता
chhalkka,छलका
jalaayenge,जलाएंगे
chhile,छिले
taskin,तस्कीं
ghuumegaa,घूमेगा
pukar,पुकार
kehake,कहके
bithaati,बिठाती
madhoshi,मदहोशी
judane,जुड़ने
rok,रोक
hindustaanii,हिन्दुस्तानी
chodta,छोड़ता
lipatati,लिपटती
puttar,पुत्तर
kaaamdev,कामदेव
akadana,अकड़ना
qasmen,क़समें
fariyaad,फरियाद
lipate,लिपटे
zubaan,ज़बाँ
tarasha,तराशा
modin,मोड़ीं
banavat,बनावट
tanahaayiyaan,तनहाइयाँ
jaagtey,जागते
yahaaon,यहाओं
uga,उगा
tumri,तुमरी
muskaaub,मुस्काऊँ
humraahi,हमराही
gunagunaaye,गुनगुनाए
manahar,मनहर
baajuo,बाज़ुओं
git,गीत
baajuon,बाजुओं
banaayen,बनायें
banake,बनाके
sargam,सर्गम
nirdosh,निर्दोश
netaaji,नेताजी
taiyyar,तैयार
takaraaen,टकराएं
jhoomati,झूमती
sunayen,सुनायें
diwano,दीवनो
banayaaa,बनाया
angadaai,अनगडाई
gad,गड़
saanvare,सांवरे
paraanda,परांदा
chotiyan,चोटियाँ
mushtaaq,मुश्ताक़
iqaraar,इक़रार
khushiyoon,खुशियों
nihaaniyaan,निहानियां
aajamaayega,आजमाएगा
chuu,चू
daiyyaa,दिया
mati,मती
lekin,लेकिन
maujo,मौजों
saambhaa,साम्भा
donoki,दोनोकी
kaalaa,ख़ाला
insaan,इंसाँ
majaboor,मजबूर
chanchalta,चंचलता
chandramaa,चंद्रमा
badhaiye,बढ़ाइये
nahayen,नहाएँ
bamamukach,बममुकच
adiyal,अड़ियल
chithiya,चिठिया
haariyaan,हारियाँ
gahana,गहना
badgumaan,बदगुमाँ
ruko,रुको
pyaasa,प्यासा
arey,अरे
para,पर
anga,अंग
utarne,उतरने
anjuman,अंजुमन
chad,चढ़
chhodegi,छोड़ेगी
naadaann,नादान
pati,पति
rukta,रुकता
pahchaan,पहचान
badle,बदले
pahunchaaegaa,पहुँचाएगा
paare,पारे
machalii,मचली
ziddi,ज़िदी
dab,दब
puchho,पूछो
qatilaana,क़ातिलाना
rahungi,रहूँगी
bajaya,बजाया
guzaregaa,गुज़रेगा
nirdayata,निर्दयता
kokam,कोकम
vasuul,वसूल
andhaa,अन्धा
samajhata,समझता
sunaanaa,सुनाना
chamakti,चमकती
thi,ती
shaks,शाकस
gharavaalon,घरवालों
peer,पीर
laagaa,लागा
tidir,तिडिर
mahsus,महसूस
vinaash,विनाश
muskurane,मुस्कुराने
lutaaye,लुटाए
gaaun,गाऊँ
jannat,जन्नत
chaaluu,चालू
bahalaane,बहलाने
jhaanjhanon,झाँझनों
thukrake,ठुकराके
chandra,चन्दा
zulmaat,ज़ुल्मात
jagmagaate,जगमगाते
babool,बबूल
chumbi,चुम्बी
jisakaa,जिसका
aapne,आपने
bhuli,भूली
jhuki,झुकी
ninipa,निनिप
ib,इब
putravati,पुत्रवती
anbar,अंबर
bheegaa,भीगा
gavaai,गवाइ
kharidenge,खरीदेंगे
chandan,चन्दन
lehraye,लहराए
veeraanaa,वीराना
majabuuriyaan,मजबूरियां
kitanii,कितनी
keda,केडा
ruhen,रूहें
dwar,द्वार
thaakoor,ठाकोओर
laoge,लाओगे
lipatii,लिपटी
daraane,डराने
bichhaa,बिछा
murchayate,मुर्चयते
firo,फिरो
khaaye,खाये
kahalaai,कहलाई
haaren,हारे
bataavo,बताओ
jiskaa,जिसका
muhj,मुझ
wardaan,वरदान
sarajan,सरजन
pede,पेड़े
bichhadakar,बिछड़कर
dishaayen,दिशाएँ
sakti,सकती
gurur,ग़ुरूर
pairuun,पैरूँ
taandav,तांडव
tumhi,तुम्हि
karaar,करार
jaanpur,जानपुर
maa,मा
samajhake,समझके
chaahna,चाहना
jubaann,जुबाँ
parchayee,परछाईं
chaanta,चाँटा
peenaa,पीना
bhole,भोले
guzarate,गुज़रते
paa,पा
sikhalaane,सिखलाने
churaae,चुराए
jas,जस
ehasas,एहसास
achakaaye,अचकाए
motor,मोटर
sanvari,संवारी
puranam,पुरनम
bekhyaal,बेख्याल
majaak,मजाक
shaava,शावा
jaate,जाता
behatari,बेहतरी
daaya,दाया
majaburiyon,मजबूरियों
nigaahein,निग़ाहें
chalega,चलेगा
baaten,बाटें
inhen,इन्हीं
batawa,बटावा
karade,कराडे
mahekaa,महका
tak,तक
jheltaa,झेलता
jake,जाके
preme,प्रेमे
pilaana,पिलाना
siidhe,सीधे
chupkar,छुपकर
hulchal,हलचल
masal,मसल
mauqe,मौक़े
thukaraye,ठुकराएँ
jeeyogi,जियोगी
chhudana,छुड़ाना
zaher,जहर
chalat,चलत
sohe,सोहे
barakha,बरखा
puuton,पूतों
tanhaaiyaan,तनहाइयाँ
bhigoke,भिगोके
chaayi,छाई
yehii,येही
samjha,समझा
milao,मिलाओ
odh,ओढ़
ghulenge,घुलेंगे
jade,जड़े
karen,करें
premii,प्रेमी
kaagazi,काग़ज़ी
baanka,बाँका
dishaaein,दिशाएं
shaayara,शायरा
maykhaane,मयखाने
dagmagaye,डगमगाये
leharon,लहरों
baithen,बैठें
jangalaa,जंगला
bulbul,बुलबुल
hoge,होगे
dukhaaun,दुखाऊँ
jagaanevaala,जगानेवाला
pattaa,पत्ता
bhagvaan,भगवान
jaanewaale,जानेवाले
aazmaan,आज़मां
chedti,छेड़ती
bhulaane,भुलाने
bachegi,बचेंगी
kaalii,काली
dhadkaane,धड़काने
karadhaniya,करधनिया
farmaaish,फरमाइश
bichhaoo,बिछाऊँ
ishaare,इशारे
akhdiyon,अखियों
chalaka,चलका
ganvaar,गंवार
sun,सुन
ayegi,आएगी
sahalaao,सहलाओ
dehka,देह्का
maharbaaniyaan,महर्बानियाँ
daastan,दास्तान
puravaaiyaan,पुरवाईयाँ
bahen,बाँहें
maataram,मातरम
uthaatii,उठाती
laava,लावा
mistari,मिस्तरी
raato,रातों
bhigaa,भीगा
sookhe,सूखे
raamoji,रामोजी
chaon,छाँव
ulta,उल्टा
baavali,बावली
gagari,गगरी
darkaar,दरकार
thali,ताली
rukiye,रुकिए
nigalane,निगलने
babuwa,बबुआ
kunwari,कुंवारी
shaarada,शारदा
lamha,लमहा
lalach,ललच
lafdon,लफ़ड़ों
rangamahal,रन्गमहल
ghulaami,ग़ुलामी
chaliya,छलिया
sunanewaala,सुननेवाला
golii,गोली
khata,कहता
manaanaa,मनाना
hasaa,हँसा
lehange,लहँगे
sinduri,सिन्दूरी
seekho,सीखो
bujhaakar,बुझाकर
barasaaen,बरसाएं
tuut,टूट
kitana,कितना
ulajhen,उलझें
tooten,टूटें
laaoun,लाऊँ
jaamun,जामुन
chupaaye,छुपाए
rahon,राहों
hasarati,हसरती
ungliyan,उंगलियाँ
kaamayaab,कामया
jaayegi,जाएँगी
sinduur,सिन्दूर
lagaayein,लगाएँ
hamdard,हमदर्द
samaye,समाए
jaavuun,जावूँ
jaataan,जाताँ
shikawein,शिकवें
bhoolenge,भूलेंगे
bhalaa,बला
uthaayegi,उठाएगी
havaale,हवाले
bitaate,बिताते
baakee,बाकी
chamakte,चमकते
bichhaduun,बिछड़ूं
raba,रब
chunar,चूनर
ghume,घूमे
vinatii,विनती
katein,कटें
lehron,लहरो
palaqon,पलक़ों
kaagaz,काग़ज़
maulaa,मौला
bhagwan,भगवान
antim,अन्तिम
kaamini,कामिनी
abbaas,अब्बास
dushaman,दुश्मन
hakadaar,हक़दार
utaarata,उतारता
ek,एक
rakhne,रखने
aazamaaen,आज़माएँ
ghadiyon,घड़ियों
nachan,नाच
hame,हम
maami,मामी
bhalaai,भलाई
chandamama,चंदामामा
bhaata,भाता
furqat,फ़ुरक़त
aazmaa,आज़मां
payaas,पयास
gori,गोरी
khola,खोला
pad,पढ़
saugat,सौगात
manachaahee,मनचाही
choos,चूस
leharaaye,लहरायें
tote,तोते
baalepan,बालेपन
suyiyaan,सुईयां
bataana,बताना
milkiyat,मिल्कियत
galane,गलने
kashtii,कश्ती
chidamudh,चिदमुध
chaandaniyaan,चाँदनियां
suut,सूट
dahaka,दहका
raamchandraki,रामचंद्रकी
pehane,पहने
anajaani,अन्जानी
banjaara,बंजारा
kishorii,किशोरी
baadashaahi,बादशाही
pahane,पहने
ruuk,रूक
yaar,यार
bhanwaron,भँवरों
pukaarenge,पुकारेंगे
mahakaauun,महकाऊं
gunan,गुनन
utane,उतने
kapaat,कपाट
sili,सीली
jao,जो
kehndi,केहंदी
mainen,मैनें
nazara,नज़ारा
kaashi,काशी
inme,इनमें
jiwan,जीवन
lagati,लगती
tinku,टिंकू
chhaaya,छाया
saare,सारे
jaale,जाले
bemisal,बेमिसाल
bidesee,बिदेसी
ulazaa,उलझा
chamakaayen,चमकायें
neenden,नींदें
thumake,ठुमके
ni,नि
kisliye,किसलिए
ghas,घास
samjhaaun,समझाऊँ
patta,पट्टा
dattaa,दत्ता
jisake,जिसे
samne,सम्ने
pashemaaneeyaan,पशेमानीयाँ
sapna,सपना
pal,पल
jins,जिंस
varaja,वरज
samajhaaoon,समझाऊँ
nikharta,निखरता
ghutan,घुटन
maahir,माहिर
laheron,लहरों
naukari,नौकरी
diidaar,दीदार
jalaoon,जलाऊँ
bahaatee,बहाती
mahazabeen,महज़बीं
bachaaiye,बचाइये
yatiimon,यतीमों
sidhaa,सीधा
rahan,रहा
baaton,बातों
hilane,हिलने
paravana,परवाना
daudane,दौड़ने
pukaro,पुकारो
jan,जां
aaika,आईका
dekhegee,देखेगी
bachana,बचाना
bejjati,बेज्जती
lutayenge,लुटाएँगे
chaahenge,कहेंगे
purab,पूरब
bhulaaoge,भुलाओगे
reti,रेती
deva,देवा
ragini,रागनी
ujiyala,उजियाला
jalo,जलो
pariyal,परियल
sajanawa,सजनवा
dikhayi,दिखाई
saadh,साध
aaengi,आएंगी
charaag,चराग
actor,अच्तोर
ghabaraaye,घबराये
mujeh,मुझे
nikaalega,निकालेगा
balavaanon,बलवानों
jaayengi,जायेगी
daawatein,दावतें
sarasaraahat,सरसराहट
takaraaye,टकराये
tadpanewali,तड़पानेवालि
feraa,फ़ेरा
kheloon,खेलूँ
kyunki,क्यूँकि
baanch,बाँच
shabaariga,शबारिगा
hun,हुँ
jagamagaayen,जगमगायें
matvaala,मतवाला
andaz,अन्दर
malikaa,मलिका
jazbon,जज़्बों
deedi,दीदी
behlata,बहलाता
rishton,रिश्तों
bhulaayen,भुलाएं
kahalaaya,कहलाया
gaaya,गाया
milaane,मिलाने
chattaanon,चट्टानों
khwaaboh,ख़्वाबों
qasamen,क़समें
sapano,सपनो
laharaa,लहरा
sabne,सबने
zindgi,ज़िंदगी
pirye,प्रिये
nazare,नज़ारे
phira,फिरा
chhodaana,छुड़ाना
suluk,सुलूक
lakdi,लकड़ी
aagaaz,आगाज़
gulaami,गुलामी
paimaane,पैमानें
sulaane,सुलाने
raham,रहम
kyo,क्यों
javaani,जवानि
nahi,नहि
jinke,जिनके
chaloji,चलोजी
diivaarein,दीवारें
ujala,उजाला
muskaraane,मुस्कराने
phuulavaali,फूलवाली
satata,सताता
sharaabon,शराबों
kataari,कटारी
gardn,गरदन
apanepan,अपनेपन
tohfaa,तोहफ़ा
eka,एक
duriyan,दूरियाँ
bajatee,बजती
paal,पाल
lalakaarein,ललकारें
maine,मैंने
diijie,दीजिए
choomun,चूमूँ
puuchhenge,पूछेंगे
chhutegi,छूटेगी
jhuthe,झूठे
khai,का
choodi,चूड़ी
sulagne,सुलगने
baaware,बावरे
tadapaa,तड़पा
lakeer,लकीर
sapno,सपनो
parvaana,परवाना
divaanagi,दीवानगी
sharmindagi,शर्मिन्दगी
siinchaa,सींचा
teesari,तीसरी
jhumm,झूम
lachakati,लचकती
kunyiya,कुंइया
ahaa,अहा
rah,राह
maazi,माज़ी
tujhmein,तुझमें
lagge,लग्गे
sameto,समेटो
udungi,उड़ूँगी
gavaah,गवाह
maati,माटी
bahen,बहें
dolen,डोलें
sajaye,सजाए
jamega,जमेगा
alam,आलम
gaayungi,गाउँगी
bahaye,बहाए
khaalii,खाली
sukun,सुकूं
taanko,टांको
pehechaan,पहचान
hansi,हँसी
majanuun,मजनूं
dhal,ढाल
batata,बताता
noch,नोच
kholin,खोलीं
agni,अग्नि
manisha,मनीषा
dekhna,देखा
gaayegi,गाएगी
humdum,हमदम
chhupa,छुपा
shivala,शिवाला
sikhaai,सिखाई
balaayen,बलायें
aakhir,आखिर
marda,मर्दा
bado,बड़ों
sochtaa,सोचता
qarar,क़रार
khou,कोई
jhonke,झोंके
tumane,तुमने
ragda,रगड़ा
badgumaa,बदगुमा
jaagne,जागने
salaakhon,सलाखों
jaal,जान
bimaari,बीमारी
mahabuubaa,महबूबा
saaraa,सारा
muskurake,मुस्कुराके
meeraa,मीरा
goraa,गोरा
char,चार
dukaanon,दुकानों
jogiyaa,जोगिया
do,दो
gaaye,गायें
lare,लारे
chhupegii,छुपेगी
sasti,सस्ती
daawaa,दावा
kimat,कीमत
safedi,सफ़ेदी
tamaa,तमा
ha,हा
baapu,बाप
khelunga,खेलूंगा
raasata,रासता
muskuraaen,मुस्कुराएं
paayenge,पायेंगे
laayak,लायक
laten,लटें
maangate,माँगते
paanv,पाँव
loota,लूटा
dastan,दास्तां
lautegi,लौटेगी
chaalaaki,चालाकी
uthhaayaa,उठाया
jagaay,जगाय
aavaaz,आवाज़
peg,पेग
bhuulaaen,भूलाएँ
lutaao,लुटाओ
jaate,जाए
palakon,पलकों
jind,जिंद
mane,मने
bulaau,बुलाऊँ
hotey,होते
hindustaan,हिन्दुस्तान
chorni,चोरनी
jhinke,जिनके
barabaad,बर्बाद
sanvaar,सँवार
vapas,वापस
va,वा
gya,ग्या
